brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Magnum,"Ice Cream Bar, Double Caramel",51db3810176fe9790a89b215,551e40f95625602056ca0d5a,7753282,2,null,null,340,190,21,15,0,null,null,20,90,37,1,31,3,4,0,10,10,null,1,98,g,98,98,g,https://d1r9wva3zcpswd.cloudfront.net/551e40a1afbd58f827666ded.jpeg,2015-04-03T07:26:25+00:00,null
De La Rosa,"Pop, Jumbo Cherry With Bubble Gum Filling",51db37c6176fe9790a8994a5,51c54a1897c3e6efadd60358,25226000108,2,Jumbo Cherry With Bubble Gum Filling,"Sugar, Corn Syrup, Gum Base. Contains 2% Or Less of Citric Acid, Lactic Acid, Maltic Acid, Potassium Citrate, Sodium Lactate, Artificial Flavor, Red 40, Titanium Dioxide, Milk.",140,0,0,0,0,null,null,0,10,34,0,26,0,0,0,0,4,null,25,38,G,38,38,g,null,2014-11-24T20:24:24+00:00,null
Rice Dream,Enrichie Vanille,51db37bc176fe9790a898e46,55089beb2f9eb842373be0d6,84253233187,2,null,null,140,22.5,2.5,0,0,0.3,2,0,70,29,0,11,0.4,10,0,30,2,null,null,1,cup,null,250,ml,https://d1r9wva3zcpswd.cloudfront.net/55089cfaa586f84224aa639d.jpeg,2015-03-17T21:30:34+00:00,null
Shaw's,"Cooking Spray, Vegetable Oil",51db37b4176fe9790a898834,51c3d1d097c3e6d8d3b51794,45674250191,2,Vegetable Oil,"Soybean Oil (Adds a Trivial Amount of Fat), Soy Lecithin, Dimethyl Silicone (for Anti-Foaming), Propellant.",0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,null,565,0.25,sec spray,0.25,0.25,g,null,2014-11-24T20:24:24+00:00,null
Thomas',"Mini Bagels, Plain",51db37b9176fe9790a898bfb,51d3000dcc9bff111580fb4b,48121216573,2,"Mini, Plain, Pre-Sliced","Unbleached Enriched Wheat Flour (Flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Water, Sugar, Yeast, Salt, Monoglycerides, Wheat Gluten, Preservatives (Calcium Propionate, Sorbic Acid), Cornmeal, Cellulose Gum, Xanthan Gum, Cornstarch, Soy Flour.",120,10,1,0,0,0,0,0,210,24,0.5,3,4,0,0,4,8,null,10,1,bagel,43,43,g,https://d1r9wva3zcpswd.cloudfront.net/536ad43721f62f01209be998.jpeg,2014-11-24T20:24:24+00:00,null
Crowley,"Nonfat Yogurt, Lemon",51db37bb176fe9790a898db4,51c3bff197c3e6d8d3b48b26,71700449819,2,Lemon,"Cultured Pasteurized Nonfat Milk, Whey Protein Concentrate, Modified Food Starch, Whey, Lemon Flavor (preserved with Potassium Sorbate), Aspartame, Gelatin, Citric Acid, and Turmeric (for Color).",100,0,0,0,null,null,null,3,130,17,0,10,8,0,0,25,0,null,1,1,ct,226,226,g,null,2014-11-24T20:24:24+00:00,null
Musco Family Olive Co.,Pitted California Ripe Olives,51db37b8176fe9790a898b4d,551f767a54c77bfa51ec9dad,76040000072,2,null,null,25,20,2,0,0,0,1.5,0,95,1,null,null,0,null,null,null,null,null,12,3,olives,14,14,g,https://d1r9wva3zcpswd.cloudfront.net/551f76de37b949795335687c.jpeg,2015-04-04T05:30:06+00:00,null
Hormel,Noodles & Beef,51db37b6176fe9790a89899b,55974284e43798226d98d554,37600469623,2,null,null,150,20,2,1,0,null,null,25,940,26,3,2,7,6,0,2,4,null,1,1,tray,213,213,g,https://d1r9wva3zcpswd.cloudfront.net/559743eb131177c0181afa39.jpeg,2015-07-04T02:24:43+00:00,null
ShopRite,"Pork Roll, Mild, Hickory Smoked, Slices",51db37b9176fe9790a898bdb,51c37afc97c3e6d272824755,41190453498,2,"Mild, Hickory Smoked, Slices","Pork, Salt, Sugar, Sodium Nitrate, Sodium Nitrite.",130,100,11,5,null,null,null,25,450,1,null,1,6,0,0,0,2,null,4,1,slice,42,42,g,null,2014-11-24T20:24:24+00:00,null
Smithfield,"Sausage, Smoked",51db37b2176fe9790a8985ac,51c3c34297c3e6d8d3b4a591,70800050024,2,Smoked,"Pork, Water, Beef, Corn Syrup, Salt, Contains 2% or Less Flavorings, Dextrose, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite.",280,210,23,8,0,null,null,55,810,4,0,1,12,0,0,2,4,null,5,1,link,90,90,g,null,2014-11-24T20:24:24+00:00,null
